Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000064372	mt-Tp	MT
ENSMUSG00000064371	mt-Tt	MT
ENSMUSG00000064370	mt-Cytb	MT
ENSMUSG00000064369	mt-Te	MT
ENSMUSG00000064368	mt-Nd6	MT
ENSMUSG00000064367	mt-Nd5	MT
ENSMUSG00000064366	mt-Tl2	MT
ENSMUSG00000064365	mt-Ts2	MT
ENSMUSG00000064364	mt-Th	MT
ENSMUSG00000064363	mt-Nd4	MT
ENSMUSG00000065947	mt-Nd4l	MT
ENSMUSG00000064361	mt-Tr	MT
ENSMUSG00000064360	mt-Nd3	MT
ENSMUSG00000064359	mt-Tg	MT
ENSMUSG00000064358	mt-Co3	MT
ENSMUSG00000064357	mt-Atp6	MT
ENSMUSG00000064356	mt-Atp8	MT
ENSMUSG00000064355	mt-Tk	MT
ENSMUSG00000064354	mt-Co2	MT
ENSMUSG00000064353	mt-Td	MT
ENSMUSG00000064352	mt-Ts1	MT
ENSMUSG00000064351	mt-Co1	MT
ENSMUSG00000064350	mt-Ty	MT
ENSMUSG00000064349	mt-Tc	MT
ENSMUSG00000064348	mt-Tn	MT
ENSMUSG00000064347	mt-Ta	MT
ENSMUSG00000064346	mt-Tw	MT
ENSMUSG00000064345	mt-Nd2	MT
ENSMUSG00000064344	mt-Tm	MT
ENSMUSG00000064343	mt-Tq	MT
ENSMUSG00000064342	mt-Ti	MT
ENSMUSG00000064341	mt-Nd1	MT
ENSMUSG00000064340	mt-Tl1	MT
ENSMUSG00000064339	mt-Rnr2	MT
ENSMUSG00000064338	mt-Tv	MT
ENSMUSG00000064337	mt-Rnr1	MT
ENSMUSG00000064336	mt-Tf	MT
ENSMUSG00000023072	Cep89	7
ENSMUSG00000004341	Gpx6	13
ENSMUSG00000073530	Pappa2	1
ENSMUSG00000052105	Mtcl1	17
ENSMUSG00000047710	Champ1	8
ENSMUSG00000028813	CK137956	4
ENSMUSG00000086226	Gm12660	11
ENSMUSG00000000617	Grm6	11
ENSMUSG00000073888	Ccl27a	4
ENSMUSG00000084932	Gm15156	X
ENSMUSG00000115168	CT009556.3	14
ENSMUSG00000086168	Gm15221	14
ENSMUSG00000082806	Rpl13-ps1	11
ENSMUSG00000085287	4833418N02Rik	17
ENSMUSG00000068696	Gpr88	3
ENSMUSG00000000804	Usp32	11
ENSMUSG00000078945	Naip2	13
ENSMUSG00000009394	Syn2	6
ENSMUSG00000021967	Mrpl57	14
ENSMUSG00000070319	Eif3g	9
ENSMUSG00000108024	Gm43912	6
ENSMUSG00000113255	AC123954.1	13
ENSMUSG00000115296	CT009556.4	14
ENSMUSG00000107846	Gm43963	6
ENSMUSG00000048368	Omd	13
ENSMUSG00000107723	Gm43964	6
ENSMUSG00000097016	Gm26708	7
ENSMUSG00000081187	3110067C02Rik	X
ENSMUSG00000021390	Ogn	13
ENSMUSG00000074274	D930028M14Rik	7
ENSMUSG00000016510	Mtif3	5
ENSMUSG00000057098	Ebf1	11
ENSMUSG00000068818	Olfr1132	2
ENSMUSG00000111978	AC124420.1	12
ENSMUSG00000021391	Cenpp	13
ENSMUSG00000093894	Ighv1-53	12
ENSMUSG00000025726	Slc28a1	7
ENSMUSG00000082428	Gm13742	2
ENSMUSG00000083734	Gm16209	8
ENSMUSG00000011148	Adssl1	12
ENSMUSG00000031913	Vps4a	8
ENSMUSG00000074882	Cyp2c68	19
ENSMUSG00000087497	2810001G20Rik	11
ENSMUSG00000086090	Gm12531	3
ENSMUSG00000094505	Ighv8-6	12
ENSMUSG00000102531	1110002O04Rik	1
ENSMUSG00000103665	Gm9227	12
ENSMUSG00000043432	Leng9	7
ENSMUSG00000036112	Metap2	10
ENSMUSG00000100606	Gm29612	Y
ENSMUSG00000022877	Hrg	16
ENSMUSG00000109381	Gm44826	7
ENSMUSG00000099355	Gm29342	Y
ENSMUSG00000047661	1600012P17Rik	1
ENSMUSG00000111308	AC156031.2	9
ENSMUSG00000075155	Olfr1133	2
ENSMUSG00000101170	Gm29343	Y
ENSMUSG00000080828	Gm14669	X
ENSMUSG00000112851	Gm7727	12
ENSMUSG00000048992	Prss32	17
ENSMUSG00000042225	Ammecr1	X
ENSMUSG00000083074	Gm14670	X
ENSMUSG00000097784	A430105J06Rik	1
ENSMUSG00000079497	Gm13420	2
ENSMUSG00000112355	AC165351.1	12
ENSMUSG00000083243	Gm14668	X
ENSMUSG00000024845	Tmem134	19
ENSMUSG00000112050	Gm29809	12
ENSMUSG00000096732	Gm8897	5
ENSMUSG00000071317	Bves	10
ENSMUSG00000043631	Ecm2	13
ENSMUSG00000034645	Zyg11a	4
ENSMUSG00000098048	Gm8330	10
ENSMUSG00000054666	Olfr63	17
ENSMUSG00000080754	Rpl36-ps7	3
ENSMUSG00000021969	Zdhhc20	14
ENSMUSG00000044308	Ubr3	2
ENSMUSG00000066839	Ecsit	9
ENSMUSG00000085861	1700016G14Rik	13
ENSMUSG00000085244	Spag17os	3
ENSMUSG00000104601	Gm29745	5
ENSMUSG00000112455	AC154904.1	12
ENSMUSG00000085840	Gm11261	4
ENSMUSG00000024114	Prss41	17
ENSMUSG00000037542	Aldh8a1	10
ENSMUSG00000082763	Tra2b-ps	3
ENSMUSG00000078931	Pdf	8
ENSMUSG00000111394	AC160637.1	9
ENSMUSG00000016520	Lnx2	5
ENSMUSG00000091594	Gm17067	7
ENSMUSG00000028455	Stoml2	4
ENSMUSG00000083296	Gm12638	4
ENSMUSG00000092554	Gm18128	7
ENSMUSG00000028412	Slc44a1	4
ENSMUSG00000032217	Rnf111	9
ENSMUSG00000031916	Cog8	8
ENSMUSG00000085209	Gm12637	4
ENSMUSG00000081987	Gm12639	4
ENSMUSG00000063480	Snu13	15
ENSMUSG00000083820	Gm6415	7
ENSMUSG00000082919	Gm12641	4
ENSMUSG00000021385	Ippk	13
ENSMUSG00000103503	1700023G09Rik	1
ENSMUSG00000026798	Coq4	2
ENSMUSG00000110801	CT009696.1	9
ENSMUSG00000111107	CT025619.2	9
ENSMUSG00000109669	Gm45472	8
ENSMUSG00000111854	CT009696.4	9
ENSMUSG00000027331	Knstrn	2
ENSMUSG00000082917	Gm11440	11
ENSMUSG00000033192	Lpcat2	8
ENSMUSG00000063804	Lin28b	10
ENSMUSG00000100158	Gm28119	9
ENSMUSG00000100559	Gm20803	Y
ENSMUSG00000028378	Ptgr1	4
ENSMUSG00000004885	Crabp2	3
ENSMUSG00000083876	Gm11439	11
ENSMUSG00000080899	Gm9109	X
ENSMUSG00000074415	2610203C20Rik	9
ENSMUSG00000097935	Gm3809	1
ENSMUSG00000033955	Tnks1bp1	2
ENSMUSG00000083414	Gm14840	X
ENSMUSG00000108000	Gm44208	6
ENSMUSG00000107489	Gm18325	6
ENSMUSG00000034235	Usp54	14
ENSMUSG00000081443	Gm3880	X
ENSMUSG00000113292	Gm18413	13
ENSMUSG00000100550	2310039L15Rik	10
ENSMUSG00000092238	Gm6004	7
ENSMUSG00000021591	Glrx	13
ENSMUSG00000082325	Gm12642	4
ENSMUSG00000089697	Gm15947	17
ENSMUSG00000109661	Gm3690	7
ENSMUSG00000091926	Vmn2r62	7
ENSMUSG00000074966	Olfr1275	2
ENSMUSG00000023216	Epb42	2
ENSMUSG00000096276	Gm2042	12
ENSMUSG00000031860	Pbx4	8
ENSMUSG00000096981	Gm16845	9
ENSMUSG00000061458	Nol10	12
ENSMUSG00000083507	Gm12842	4
ENSMUSG00000054000	Tusc1	4
ENSMUSG00000042050	Wdr60	12
ENSMUSG00000038895	Zfp653	9
ENSMUSG00000029642	Polr1d	5
ENSMUSG00000096086	Gm4761	6
ENSMUSG00000085717	Hmgb4os	4
ENSMUSG00000104567	Gm43209	9
ENSMUSG00000085784	Gm12158	11
ENSMUSG00000028109	Hormad1	3
ENSMUSG00000048686	Hmgb4	4
ENSMUSG00000108362	Gm18561	7
ENSMUSG00000083607	Gm12640	4
ENSMUSG00000043411	Usp48	4
ENSMUSG00000084833	Gm12649	4
